Unnamed: 0,Sales_ID,Product_Category,Sales_Amount,Discount,Sales_Region,Date_of_Sale,Customer_Age,Customer_Gender,Sales_Representative
30712,81a87065-6947-4f88-8d55-57d0863212d1,Pet Supplies,459.47,43.67,Michelleshire,2024-08-31,53.0,Female,Shaun Rivera
49182,ac0fbbb1-2223-4189-aeac-74a815a63aa4,Electronics,633.86,48.08,Scottfurt,2024-04-24,40.0,Male,Joseph Jones
57234,4a206238-6aab-4b60-ab97-f1d4c888a556,Outdoor,892.38,45.75,North Michelleberg,2024-06-28,38.0,Male,Vincent Medina
15663,02913e99-7f7b-48ac-8de8-dea93e7c07a3,Pet Supplies,858.08,31.49,Ashleyfort,2024-05-24,29.0,Female,Carol Hart
19966,f9f9f3e6-84dd-40e8-82c1-4d71bc6d9988,Toys,689.46,1.57,Lindaside,2024-02-28,48.0,Male,Claire Hamilton
91912,d8138194-b87c-450f-9b37-ffee4d13131b,Tools,773.05,49.95,Taylorstad,2024-07-14,26.0,Other,Amber Fisher
91957,a849295b-9653-4058-b6af-086d88bb40ac,Music,975.6,49.81,Zacharyside,2024-08-30,21.0,Female,Ashley Reyes
81346,16f3443a-c09c-46d5-a3cf-d3f11b546ee0,Music,,,Lake Danielleberg,2024-08-21,,,Gerald Wilkinson
55325,5ebff3df-3d7f-4b74-83ea-392838ea1e7b,Office Supplies,583.14,18.95,New Austinshire,2024-04-07,21.0,Female,Megan Juarez
29857,47acb7c5-2296-4b34-b0c8-02676dd99d0d,Sports,257.48,38.11,Jenniferhaven,2024-06-17,46.0,Female,Charles Harper
71222,a5bc5133-b1c2-4978-8822-60e9a059e6ee,Electronics,606.92,25.69,Port Markland,2024-07-04,54.0,Female,Jillian Turner
52458,b93053f6-6852-4835-86dc-7949c4c96209,Automotive,334.37,44.41,Lauramouth,2024-01-21,39.0,Female,Carol May
88345,e6170e76-2aa6-4540-8b9a-736226e9065f,Health,766.54,0.92,South Natalie,2024-04-05,41.0,Other,Michael Frazier
82363,31e18502-a3d5-4a68-be31-74d95331244c,Health,220.06,26.61,New Kristy,2024-07-31,56.0,Other,Candice Lopez
65349,fc95bbed-b79b-43b3-bd95-26edd63d3d4e,Movies,,,East Ashleyview,2024-05-05,,,Alejandro Shields
59649,d8095a35-710e-44c5-9c61-eda438035753,Appliances,685.19,8.32,Meyersmouth,2024-05-24,18.0,Female,Alexander Miller
44952,1619adff-aeb0-4ff6-a94a-5c2070b1f86a,Furniture,347.94,45.86,Natashaville,2024-01-28,61.0,Other,Chris Huang
39525,a3cd46e4-7568-4100-8f02-08dc97d02be7,Sports,833.86,43.77,Lake Tinafurt,2024-07-07,51.0,Other,Mrs. Renee Burns
13935,cfc88a88-7643-4be9-abb3-3d8086c8a8ef,Appliances,307.68,10.96,Brittanyshire,2024-07-22,53.0,Other,James Yang
93780,8201ec82-5572-4fb8-9416-1f6faed56bab,Toys,,,Connorchester,2024-01-03,,,Mary Webb
89884,b51951f4-4c65-4f30-bcd6-bff3389ad88b,Automotive,736.2,7.5,East Judy,2024-06-03,58.0,Female,Andrea Wilson
81143,5d3ec61d-67af-468b-a30c-1b561a8c2c76,Baby Products,403.57,14.23,Lake Samanthafurt,2024-08-01,32.0,Other,Alexis Bailey
95799,178bf125-48d0-40b0-a44e-c93152fd8a4c,Health,652.63,31.8,Hollyland,2024-03-09,22.0,Other,Joseph Walsh
89404,d5f0d824-c95a-4cb3-a4c7-3dba2f7b60c7,Toys,793.15,4.77,Smithside,2024-06-03,23.0,Other,Maria Owens
55223,4f0eb449-44e7-4cae-86f5-a785e2df22f1,Home & Kitchen,128.91,17.43,Port Jeffrey,2024-03-24,19.0,Female,William Wiggins
73645,f61b92b3-66b0-4dcc-8360-1001709d1aaa,Office Supplies,691.32,49.81,Jacquelinebury,2024-05-13,47.0,Other,Mr. Jason Bernard
66293,3c31c21f-e976-4c97-b0ef-07a3499f471e,Home & Kitchen,994.29,43.92,Elizabethhaven,2024-03-23,37.0,Female,Amanda Robinson
65539,b1d3193d-23dc-4d4a-90b6-a996756367cd,Clothing,,,North Masonland,2024-08-11,,,Danielle Guzman
28110,15049737-56f8-4a2c-826c-36f9c49d8d05,Sports,589.59,8.15,North Jeffrey,2024-08-26,33.0,Other,Janice Jones
41928,b8ea0efb-cad8-48d1-907f-96479565d559,Software,155.94,6.9,Schmidtview,2024-08-10,29.0,Other,Collin Roberts
86546,46881a04-960b-49ce-82f0-5d6bbe548bec,Music,290.7,13.38,North Kevin,2024-08-03,54.0,Male,Donald Lee
82585,ad8ba7eb-7e69-41ba-a8cc-b7121cd00c1e,Garden,907.39,44.59,South Melissastad,2024-08-28,22.0,Male,Samuel Henderson
38603,dd153cfb-ee13-43f3-bb53-68ba4faa96a5,Toys,,,South Anthonyfort,2024-04-16,,,Joshua Trujillo DDS
91657,a9dc5cb8-0b82-41f0-ab19-569b4bc4d1b4,Jewelry,257.49,43.96,Annettetown,2024-01-04,56.0,Male,Rebecca Jones
62786,e2f4b7ea-7f68-43fa-a23c-74e2611971ed,Books,814.63,12.46,Jacksonberg,2024-07-08,30.0,Female,Thomas Anderson
84340,d4e948f5-0787-4e52-b122-b62aa78534fe,DIY,692.78,32.77,Port Cynthiafurt,2024-04-17,37.0,Male,Danny Parker
39874,e8b23b7b-1028-4b3d-9985-cc11fb7ccc82,Beauty,263.4,17.03,New Tyronefurt,2024-02-24,24.0,Other,Tiffany Franco
78468,d5ee8e42-54fd-4ed2-9407-39755f4f4de1,Furniture,456.43,2.81,South Luis,2024-06-17,32.0,Female,David Dixon
31631,20d95560-c51f-4a61-a1eb-9385f3350549,Clothing,313.36,36.36,Josephberg,2024-08-30,31.0,Other,Victor Jackson
14952,0a56ed5c-152d-483e-9ef2-84dbeee7fa23,Toys,974.61,40.96,Lake Helenview,2024-08-09,34.0,Female,Jennifer Rodriguez
39331,2d1589bb-29ca-4c34-981f-72db02bdfa26,Tools,847.47,23.88,Huffshire,2024-05-27,63.0,Male,Kenneth Keller
48587,62bb4e5b-38e6-4a0d-8366-85e6d3ad90ca,Software,240.94,27.49,South Michael,2024-02-25,48.0,Male,Nicole Downs
83594,151bcef7-6bbf-4b38-9b80-e7b9344b5ea3,Software,,,Mistystad,2024-03-16,,,Timothy Garcia
41487,08357c11-c2f6-4a9d-b0fe-08199c210081,Health,328.55,41.89,Wolfshire,2024-01-04,21.0,Male,Veronica Daniel
39627,f5911c7b-b281-4612-a90a-18fe5c33967b,Appliances,152.7,27.55,West Jessica,2024-04-10,68.0,Female,Leah Oneill
87894,3c3c2e75-7483-4587-9c5a-dcf12342460d,Beauty,395.89,3.54,New Mario,2024-06-14,29.0,Female,Donna Shaw
26303,3b46e87f-77df-447a-9521-9bb029a164a3,Music,,,South Danaberg,2024-08-05,,,Caitlin Clark
67403,6aa6701e-0301-4924-913f-62ebfb45bcdd,Outdoor,725.66,8.28,West Amy,2024-02-20,26.0,Male,Kevin Crawford Jr.
98084,f94e1956-0052-4b56-9cfc-fdc94bf56cb3,Personal Care,771.34,23.19,Lake Jackiechester,2024-02-25,37.0,Male,Theresa Smith
95601,e7384274-971d-4c6f-9523-e39b9a5031ef,Toys,660.54,47.85,North Jessica,2024-07-20,50.0,Other,Angela Clark
5019,cdd2b38a-50f9-4bb8-a16d-f6c50bb2ca9b,DIY,609.84,4.97,Cindyborough,2024-03-27,67.0,Female,Caitlin Erickson
5223,53c32024-a950-4d2b-90d7-9436b5ab4c2c,Jewelry,880.12,32.64,Moorefurt,2024-06-16,25.0,Female,Maria Murphy
15780,52da013f-a266-4f97-b373-efb738828b86,Automotive,985.08,27.39,North Heather,2024-02-21,59.0,Other,Tammy Stanley
45556,709fa5b2-2b2c-411f-ad71-3e2520dd3cb3,Home & Kitchen,205.94,12.75,Susanbury,2024-04-23,49.0,Male,Vanessa Chambers
12896,d0c58477-7f22-4087-9a66-7a5a5feeafb0,Toys,822.33,11.89,Cohenburgh,2024-03-26,58.0,Other,Miranda Livingston
34304,8aec82d2-e4cc-4180-a229-cdcc21a384d1,DIY,947.22,24.42,Mollyborough,2024-07-23,26.0,Female,Connor Lopez
93322,32cf3b3b-045a-43d4-9ff4-1bd3d9a569a6,Books,153.18,37.5,East Thomas,2024-07-20,53.0,Female,Richard Johnson
5324,012fd8b1-0fd1-43d4-a135-410f01c22894,Home & Kitchen,854.98,4.58,East Rickyhaven,2024-07-25,39.0,Female,Kyle Wagner
52925,0b4b7cc9-82b0-40f9-a75d-2973ba674041,Groceries,379.95,36.79,East Sabrina,2024-03-23,69.0,Male,William Hodges
62864,a31e77ce-d9e1-4047-988d-862796e14fc3,Clothing,479.68,5.28,New Annaborough,2024-08-15,22.0,Other,Stephen Decker
8018,1dd363f6-ac73-4b84-97b8-36213795fc0f,Furniture,712.91,19.42,Harveyfort,2024-01-06,51.0,Female,Mr. Scott Huff MD
82944,10d817f1-3335-4917-8506-b86b14abcc82,Furniture,410.93,41.8,West Kevin,2024-03-03,69.0,Male,Rodney Olson
90376,9f696418-c8d4-4537-be46-0435420a556c,Toys,646.43,10.84,Williamstad,2024-03-11,35.0,Other,Johnathan Martin
41720,66813ec3-7afb-451d-9fae-5a1b4641814e,Baby Products,218.27,11.81,East Kristenview,2024-06-23,54.0,Male,Jesse Wood
866,98714534-a365-4f29-99a8-6af301e31a71,Furniture,624.03,18.66,West Lorifort,2024-02-12,61.0,Female,Lori Delgado
98443,66847fde-960e-4518-8bfa-18d24c4be80c,Home & Kitchen,912.85,16.12,Lake Raymondberg,2024-05-21,41.0,Male,Joanna Parker
83039,7f5d09f3-f850-43e6-8720-62a57e51b9fd,Garden,503.43,24.48,North Susanmouth,2024-02-23,50.0,Male,Christopher Webb
13924,ea0e16f9-e021-4cd0-90db-3ff78953a58d,Home & Kitchen,284.31,25.09,North Carolmouth,2024-04-22,51.0,Other,Jennifer Rodriguez
79892,d4a4f345-612e-42a8-8539-72cd4af5cef1,Sports,875.07,35.58,West Suzanne,2024-08-15,20.0,Male,Bradley Williams
31183,3dd1823c-84ab-476f-bda6-9532a76bf05d,Garden,,,Reedburgh,2024-05-21,,,Teresa Brown
13799,381967c8-bf15-4c66-8812-1a4a71b7d08e,Office Supplies,546.64,18.76,Susanview,2024-01-01,20.0,Other,David Curtis
40988,bf0ef90b-201b-4c06-9157-f3588a5da729,Music,,,Martinhaven,2024-07-15,,,Dana Pitts
66733,144d2a58-d41c-43a1-a8ef-40bb98af5542,Automotive,759.33,4.82,South Williambury,2024-05-24,30.0,Male,Kathleen Craig
78330,430b9b60-f6d7-49b6-8851-3d645c604f88,Groceries,918.31,48.62,Stevemouth,2024-06-01,36.0,Male,Jeremy Anderson
24378,9244fe49-23a6-43f9-b341-81baadd539f5,Music,892.88,39.2,Lake Stacy,2024-02-26,23.0,Female,Natalie Wells
23414,c541db99-252e-41bd-9f34-c90255425842,Garden,956.09,18.72,East Teresabury,2024-04-02,27.0,Other,Gregory Brown
97559,6f5e879e-a4da-4a3d-8c48-0af3d7520a09,Sports,421.35,25.39,North Jonathan,2024-05-15,67.0,Male,Danny Lynch
22992,a5969449-64eb-47c5-a91c-db2576f73e9f,Toys,646.27,22.13,Davidhaven,2024-04-16,25.0,Female,Bethany Sweeney
3231,e8909261-7487-4f36-bef4-e672194b5542,Garden,566.97,42.76,Patrickchester,2024-08-09,32.0,Female,Victor Armstrong
41995,6975e4f8-c1aa-401d-a1a8-394c111959da,Pet Supplies,567.7,4.92,Grayfort,2024-02-17,23.0,Female,Joseph Reid
49187,110b89bf-d42c-4bf4-ab5e-8432b06f2811,Books,905.55,28.92,Kaitlynbury,2024-08-18,66.0,Other,Jamie Acosta
22514,31c6239c-327c-4c0f-ba92-59cb37b6cda9,Outdoor,885.9,28.11,Carpenterton,2024-02-01,68.0,Female,Jenny Cortez
21325,f3c13ffd-8030-4b29-9729-ed0f49be78c6,Software,,,South Shannon,2024-07-05,,,Shane Sanchez
86233,3b16d04d-5e18-48d2-b8e2-b71ab71e1596,Furniture,622.13,41.72,Port Davidview,2024-03-01,36.0,Female,Rachel Johnson
88126,79d8b5cd-c161-4b89-801b-d9cf3076c2a3,Books,835.55,9.6,Shannonport,2024-03-29,62.0,Male,Michaela Martinez
29823,93cc891f-6343-4458-afbd-9fe199a5b4ae,DIY,543.14,33.58,Houstonton,2024-06-26,30.0,Female,Nathan Morgan
92484,2f78c3d4-8fdb-4b44-a1ed-fd6b7694431d,Baby Products,340.5,42.25,Brownview,2024-02-09,67.0,Male,Jose Brewer
68424,0274cf28-63a4-4dc3-b7b5-f548702384eb,Sports,959.59,5.72,New Brianbury,2024-07-21,67.0,Other,Tiffany Jackson
64483,c3433f15-5d0b-4b04-8e8e-c60c0bb60306,Pet Supplies,625.8,1.79,Jacobberg,2024-03-11,19.0,Female,Curtis Ortiz
51019,fc3c4eee-2b0d-46b6-99a5-d13c202dfa39,Software,,,Richardsonshire,2024-08-04,,,David Allen
26753,20f6fcc5-8adc-4c65-9c41-69d7ed5279db,Music,242.38,39.19,West Davidfort,2024-05-25,45.0,Female,James Stafford
49963,1a7f4b74-9500-4568-915e-e881eade7703,Pet Supplies,818.18,28.53,Vanessatown,2024-09-10,40.0,Female,Sierra Park
42731,473d7cb8-fb77-4944-92fd-740664927df1,Baby Products,677.22,40.67,Jacksonville,2024-08-29,40.0,Other,Mark Martinez
29056,7b7049bd-5286-4115-91d2-fda1a4d39e99,Music,238.2,38.68,Lake Michelle,2024-04-18,28.0,Other,Kaitlyn Savage
55317,6adefbc9-0538-487a-8409-809a641d755d,Toys,326.18,22.13,Kevinchester,2024-05-06,47.0,Other,Joy Sanchez
35496,e7c463bc-a2e4-42f7-8b37-062dc3fb5061,Movies,556.29,41.17,East Joann,2024-02-22,45.0,Male,Kelly Reed
56337,faead60d-ac60-4e92-b20f-e200ec78ed3c,Appliances,452.56,31.2,Greenshire,2024-02-07,65.0,Male,Ernest Hale
79277,40f82215-0d8e-49cd-accd-c87a11902f2c,Movies,788.98,14.01,Kimland,2024-08-15,52.0,Other,Richard Johnson
5464,de00f86c-e881-411d-97a0-f40cecb2baa9,Home & Kitchen,890.69,1.0,Gonzalezton,2024-06-04,45.0,Male,Jason Wilson
70155,ae633b27-c2be-4224-94e2-bf4ea24c3238,Home & Kitchen,,,East Tinaview,2024-05-17,,,Julie Coleman
70669,dda83e6f-8648-4e23-aaef-2520dd2dbab1,Baby Products,760.7,25.55,New Margaret,2024-07-02,46.0,Male,Lauren Griffith
56013,8cb2c5df-47e7-4a5a-b8df-e1b41b8ead49,DIY,211.23,41.64,West Jamesfurt,2024-08-23,18.0,Male,Benjamin Hughes
12085,c0bd1b35-bdb5-4196-8a42-80d79edfc485,Home & Kitchen,648.46,22.0,Marcport,2024-05-08,44.0,Female,Jessica Farmer
56818,d04a3ebb-39d7-422d-999f-974361790dc2,Furniture,620.04,33.99,Justinhaven,2024-03-27,48.0,Male,Bryan Branch
20000,6a99273d-3927-4ab5-8a34-bb98364b9eba,Personal Care,,,Port Fernandochester,2024-07-06,,,Maria Bonilla
